date,url,username,content
2022-11-30T08:53:02+00:00,https://twitter.com/dianrochmulyat2/status/1597876344649814016,dianrochmulyat2,@ganjarpranowo Ya Allah lindungilah dan jadikanlah pak Anies Rasyid Baswedan menjadi Presiden RI Aamiin
,,,
2022-11-30T08:50:18+00:00,https://twitter.com/LekMarteg/status/1597875658449092610,LekMarteg,@denyspam @ganjarpranowo yg penting kang @denyspam jgn sampek pilih capres yg cumak bs bertata kata yakkk 🤘🏻🤘🏻
,,,
2022-11-30T08:26:23+00:00,https://twitter.com/zuraidbima/status/1597869640088420352,zuraidbima,"#Pilpres2024 
@aniesbaswedan dipilih oleh Partai Modern dengan Pimpinan Surya Paloh @NasDem Seakan tidak mau Kalah meskipun tidak jelas pak @jokowi memberi sinyal dukungannya pada Mas @ganjarpranowo !
Terasa aneh tapi nyata, Puluhan bahkan Ratusan Milyar Biayanya !"
,,,
2022-11-30T08:17:01+00:00,https://twitter.com/DeangWaden/status/1597867281778110465,DeangWaden,"@Mukarimah_rima @ketupatpadang1 @ganjarpranowo Kok daripada sih,  dia kan calon presiden. Gimana generasi kedepan kalo presiden doyan porno. Dongok"
,,,
2022-11-30T07:14:13+00:00,https://twitter.com/Penangsang_/status/1597851479347716096,Penangsang_,"Nasrodin berharap, Ganjar dapat melanjutkan estafet kepemimpinan Presiden RI Joko Widodo (Jokowi) din2024 mendatang. Nasrodin menyakini bahwa Indonesia semakin baik dan maju melalui kepemimpinan Ganjar Pranowo.

@ganjarpranowo
#SahabatGanjar

https://t.co/SmGbElvU5C"
,,,
2022-11-30T06:42:24+00:00,https://twitter.com/ErikS_2601/status/1597843470785601536,ErikS_2601,@Tan_Mar3M Katanya mau jadi presiden bung @ganjarpranowo??..wkwkwkwk.
,,,
2022-11-30T06:34:27+00:00,https://twitter.com/Greendboyz/status/1597841470396207105,Greendboyz,"@umarhasibuan757 @ganjarpranowo Sekelas GUBERNUR ngomongin beking2an,, Cape dh,, kan tgal nerapkan PERATURAN,, Klo misalkan PRESIDEN yg jd beking tgl di segel aje,, mg bs apa mereka tkg beking? Anda d pilih oleh rqkyat,, bukan mereka,,"
,,,
