date,url,username,content
2022-11-30T08:19:33+00:00,https://twitter.com/Sisyarumii/status/1597867916992528384,Sisyarumii,"Prabowo menyebut, kesepakatan dan persetujuan RUU tersebut diambil dalam Rapat Kerja Komisi I DPR RI - Menhan RI yang digelar secara tertutup. https://t.co/QsAfEDcttt @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo"
,,,
2022-11-30T08:08:32+00:00,https://twitter.com/Sisyarumii/status/1597865146063286274,Sisyarumii,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/ckfQrVLcVR @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T08:07:32+00:00,https://twitter.com/Sisyarumii/status/1597864894212505600,Sisyarumii,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/ckfQrVu9TR @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T07:12:18+00:00,https://twitter.com/lemon_oliveoil/status/1597850997019226112,lemon_oliveoil,@Gerindra @prabowo Cba yah pak ganjar sma pak prabowo jadi capres dan cawapresss jadi satu team aing dukung heheheh 😭👍
,,,
2022-11-30T07:05:21+00:00,https://twitter.com/RahmawatiRenty/status/1597849246270918656,RahmawatiRenty,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/b3HKlfn60g @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T07:05:20+00:00,https://twitter.com/RahmawatiRenty/status/1597849243644854272,RahmawatiRenty,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/b3HKlfE92g @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T06:29:03+00:00,https://twitter.com/mirendraya_PS/status/1597840112209235968,mirendraya_PS,"Insha Allah 
Presiden Kita Semua 2024

@Gerindra @prabowo 

#FIFAWorldCupQatar2022 
#MAMA2022 https://t.co/9iz9Wtpzmf"
,,,
2022-11-30T06:25:31+00:00,https://twitter.com/ErawanRaisa/status/1597839220256968704,ErawanRaisa,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/p7ksOD5aSA @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T06:24:33+00:00,https://twitter.com/Gilprattt/status/1597838979541266432,Gilprattt,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/hDx1Duwjza @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T06:24:33+00:00,https://twitter.com/Gilprattt/status/1597838976823357440,Gilprattt,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/hDx1Duwjza @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T06:23:40+00:00,https://twitter.com/ErawanRaisa/status/1597838756677320704,ErawanRaisa,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/p7ksOD5aSA @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T05:09:12+00:00,https://twitter.com/wigRahman/status/1597820016111779842,wigRahman,"Andai @jokowi merestui @prabowo sebagai capres berpasangan dengan @ganjarpranowo sebagai cawapres, apakah anda setuju melawannya dengan memasangkan @aniesbaswedan sebagai capres berpasangan dengan @puanmaharani_ri sebagai cawapres di pilpres 2024?"
,,,
2022-11-30T05:08:28+00:00,https://twitter.com/TriandanaRildi/status/1597819832183164928,TriandanaRildi,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/PTzfrfTxCB @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T05:06:22+00:00,https://twitter.com/TriandanaRildi/status/1597819302899744769,TriandanaRildi,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/PTzfrfTxCB @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:49:45+00:00,https://twitter.com/elsadea15/status/1597815120335208448,elsadea15,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/DoJf9JkHai @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:48:44+00:00,https://twitter.com/elsadea15/status/1597814866122657792,elsadea15,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/DoJf9JkHai @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:45:50+00:00,https://twitter.com/AnitaDe00794996/status/1597814135726559237,AnitaDe00794996,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/wZJFerav2y @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:45:49+00:00,https://twitter.com/AnitaDe00794996/status/1597814129917820929,AnitaDe00794996,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/wZJFeqTs0y @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:45:18+00:00,https://twitter.com/XenaAzura/status/1597814000729067521,XenaAzura,Prabowo optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/nTwx2nCd8D @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
2022-11-30T04:43:17+00:00,https://twitter.com/XenaAzura/status/1597813493935509505,XenaAzura,Menteri Pertahanan RI Prabowo Subianto optimistis Indonesia memiliki masa depan yang baik asal masyarakatnya rukun dan bersatu. https://t.co/nTwx2nCd8D @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo
,,,
