date,url,username,content,cleaned
2022-09-23,https://twitter.com/cagubnyinyir2/status/1573122196679294976,cagubnyinyir2,"Menggelikan sekali !
Wan Ambruk mengaku sbg Gubernur Pemersatu Warga Jakarta.
Lidahnya terus umbar Kibulan dusta, kampanye
nafsu jadi presiden Ke 2024. @aniesbaswedan @felim20000 @hbasuni @Dhimas_0202 @Oodhi_tah @_Goentoer_ @BuayaUbanan @53NN0_ @caloproperty @hayder_imron @BHD_8 https://t.co/hkd2Kts9C3",keli ambruk aku gubernur satu warga jakarta lidah umbar kibul dusta kampanye nafsu
2022-09-23,https://twitter.com/Ganezhaputra1/status/1573116876942725127,Ganezhaputra1,@Ochi_Queen09_1 @aniesbaswedan Di poles kayak apapun nggak bakal terpilih jadi presiden RI. Gimana mau terpilih kalau tak ada partai yg nyalonin??,poles apa engak pilih pilih partai nyalonin
2022-09-23,https://twitter.com/theopieter/status/1573112564938346497,theopieter,"@azwarsiregar @prabowo @aniesbaswedan Beda kali, prabowo jdi menteri setelah dia kalah capres dan pdahal dia oposisi satu satunya, semua pendukung setianya dia kecewalah eh taunya masuk pemerintahan jdi anak buah rivalnya sendiri, mending gtu dlu gausah pemilu kan langsung jkowi aja jdi presiden",menteri kalah oposisi satu satu dukung setia kecewa tau perintah buah rival baik engak pilih langsung jkowi
2022-09-23,https://twitter.com/YaniHer67444263/status/1573108012646268928,YaniHer67444263,@pejuangnkri77 @aniesbaswedan @DKIJakarta @tamanhutandki @KotaJaksel @mrtjakarta Presiden Indonesia harus orang Indonesia asli. Bukan Keturunan,asli turun
2022-09-22,https://twitter.com/ant1cebong/status/1573094560263278592,ant1cebong,Ga pantas hanya jadi gubernur seharusnya sdh jadi Presiden Pak @aniesbaswedan https://t.co/C3BTL5WBVH,engak gubernur
2022-09-22,https://twitter.com/ICHANKsrg2/status/1573086616998281216,ICHANKsrg2,sudah dibilang KPK cuman alat untuk menyingkirkan @aniesbaswedan maju jadi calon presiden..... @tatakujiyati @panca66 @msaid_didu #AniesPresiden2024 https://t.co/N1zFd2j928,bilang komisi berantas koruptor cuma alat singkir
2022-09-22,https://twitter.com/rinaldialamsya5/status/1573083511703359488,rinaldialamsya5,@BennyHarmanID Ke @aniesbaswedan yang dicalonkan jadi Capres oleh @PKSejahtera,calon
2022-09-22,https://twitter.com/ImamCham4/status/1573079982871834624,ImamCham4,@aniesbaswedan @DKIJakarta @tamanhutandki @KotaJaksel @mrtjakarta Insyallah suatu saat bisa kesana pak...abdai pun kami blm juga bisa kesana..dak lama lagi. Kami kan main di pemandangan yg sama yy berada di kota kami sumsel ini..karna kami yaqin setelah BAPAK @aniesbaswedan  2024 jd presiden..rakyat indonesia kan menikamati syurga di daerahnya,insya bisa kesana abdai belum bisa kesana pandang kota sumsel yaqin rakyat menikamati syurga daerah
2022-09-22,https://twitter.com/noelrusmana99/status/1573071653596286978,noelrusmana99,@marlina_idha Sampai Buzzer2 @aniesbaswedan Mulutnya Berbusa tetep aja Dia Ga Bakalan jadi Presiden !! Yang ada tetep jadi SAMPAH Peradaban Politik Indonesia  dan akan di catat di sejarah .,buzer mulut busa engak sampah adab politik catat sejarah
2022-09-22,https://twitter.com/tamally75/status/1573071078024531970,tamally75,"@Rizmaya__ @aniesbaswedan Berani jujur itu hebat.
Masa jabatan Gub nya habis pada girang
Kini baru mau menjadi Capres kalian yg stress... Gimana kalau nanti jadi Presiden beneran ???",berani jujur hebat jabat gubernur habis girang baru stres benar
2022-09-22,https://twitter.com/Tony_Harto/status/1573058940925100033,Tony_Harto,"@detikcom Paling mau bikin legitimasi si #PrestasiMatiinMic jd calon CaWapres @prabowo yg sdh bisa diprediksi kalah lge oleh Capres @ganjarpranowo dgn CaWapres @aniesbaswedan 
https://t.co/JrxfNzqU8h",legitimasi bisa prediksi kalah lge
2022-09-22,https://twitter.com/YandraD31/status/1573018959800324096,YandraD31,"Penasaran mo ikutan polling presiden pilihan anda, andai pemilu skrg
✍️ tanpa @aniesbaswedan 
Izin
@emprosay
@PanciB0zz
@Stevaniehuangg 
@DrEvaChaniago 
@restyca_yah 
@alisyarief 
@UAgil4 
@Yunardi99 
@Bu_ErteTL 
@propaganda_99 
@SyaifAlaydrus99 
@ipeh_tetapnganu 
@j_lomungil",penasaran ikut poling pilih andai pilih izin
2022-09-22,https://twitter.com/BMW43415387/status/1573011496962912257,BMW43415387,@JebuelMania900 @aniesbaswedan Maluku Hadir. Insh Allah Presiden RI,malu hadir insh
2022-09-22,https://twitter.com/adsudrajat86/status/1573002204830928896,adsudrajat86,"@kompascom Iyain aja dah,  yang penting jadi presiden dulu :)) iya Pak @aniesbaswedan",iyain penting
2022-09-22,https://twitter.com/DjuremiReinke/status/1573001714105565184,DjuremiReinke,"@AbdHali59646742 @GunRomli @Aryprasetyo85 @aniesbaswedan Suami -Istri cari nafkah jadi BuzzerRp utk nyerang Anis.Anis jadi Presiden,BuzzerRp kayak si Guntur Romlah Keling,dan Istrinya kehilangan Mata Pencaharian...😁",suami istri nafkah buzerp serang buzerp guntur romlah keling istri hilang cahari
2022-09-22,https://twitter.com/zoomhen/status/1572991354875289600,zoomhen,"@aniesbaswedan Selamat malam menjelang pagi, Pak Presiden",selamat malam jelang pagi
2022-09-22,https://twitter.com/AliImro59427815/status/1572990479616348160,AliImro59427815,"@Hamim_Ortega @MataNajwa @NajwaShihab @jokowi @aniesbaswedan Koq perbandingannya antara presiden dan gubernur?? Napa ga gub sama gub, ato pres sama pres gitu??",perbandinganya gubernur engak gubernur gubernur
2022-09-22,https://twitter.com/jokotuek/status/1572979653320806400,jokotuek,"@Ochi_Queen09_1 @aniesbaswedan Jadi menteri, dipecat. Jadi gubernur, modal mayat. Jangan dijadiin presiden lah",menteri pecat gubernur modal mayat jangan jadi
2022-09-22,https://twitter.com/samboja70766916/status/1572977887078391808,samboja70766916,"@Rizmaya__ @aniesbaswedan Mending kau belajar masak, dari pd lu bacot ngawur disini. Biar pak anis ntar jadi presiden, kau bisa minta modal sama ahok buat buka warteg.",baik ajar masak bicara bicara sembarang bisa modal warung tegal
2022-09-22,https://twitter.com/RyanBayu__/status/1572971370237292547,RyanBayu__,@TeddGus @aniesbaswedan Sabar ya pa anies..mengabdi pada negara ga harus jd capres,sabar abdi negara engak
2022-09-22,https://twitter.com/Maulana1423Agus/status/1572969884593844224,Maulana1423Agus,@aniesbaswedan @DKIJakarta @tamanhutandki @KotaJaksel @mrtjakarta Presiden &amp; Wakil Presiden INDONESIA 2024 🤲🏻 Semoga selalu dalam lindungan ALLAH SWT Aamiin 🤲🏻 https://t.co/mGA1VcL9Sg,moga lindung
2022-09-22,https://twitter.com/EeboneNeehh/status/1572964999903219714,EeboneNeehh,@Satya90 @BasriUceng @AtnisJaya @le_4Ziz @abu_waras @jokowi @aniesbaswedan Loe yg goblok! Loe pikir loe bisa ngebacot di medsos kalo prabowo yg presiden hari ini? Udah ilang loe ga tau kubur loe dimana tolol!,bodoh pikir bisa ngebacot media sosial hilang engak kubur tolol
2022-09-22,https://twitter.com/pakrisd/status/1572958482248003585,pakrisd,"@JebuelMania900 @aniesbaswedan Mohon ijin....saya rasa belum saat nya beliau menjadi presiden..masih banyak yang lebih unggul dari beliau, saran saya ,mungkin beberapa pemilu lagi beliau bisa jadi presiden",mohon ijin rasa belum ungul saran pilih bisa
2022-09-22,https://twitter.com/manzis/status/1572953606592286721,manzis,@aniesbaswedan @DKIJakarta @tamanhutandki @KotaJaksel @mrtjakarta @aniesbaswedan Seandainya anda jadi Presiden apa yang akan ada lakukan untuk memperbaiki Polri????,anda laku baik polri
2022-09-22,https://twitter.com/ArisPur23154621/status/1572952441535881216,ArisPur23154621,@JebuelMania900 @aniesbaswedan Pantes dari hongkong...kerja aja gk becus.. klo anis jdi presiden nnhi kadrun kadrun ngga dpat cambuk cemeti amarasuli..,hongkong kerja engak becus nhi kadrun kadrun engak dpat cambuk cemeti amarasuli
2022-09-22,https://twitter.com/halos0107/status/1572949553346924545,halos0107,"Komemtar dan Subcriber Siapa CAPRES 2024 Pilihan anda - @puanmaharani_ri
@prabowo
@aniesbaswedan @erickthohir @ganjarpranowo @AgusYudhoyono @airlangga_hrt 

https://t.co/RSEqpSuhWT",komemtar subcriber pilih
2022-09-22,https://twitter.com/Jiwaorang1/status/1572945645173764096,Jiwaorang1,@GunRomli @aniesbaswedan Guntur romli.kau emng cebong sejati.penjilat penguasa.takut klo pak Anis jadi presiden kau akn lapar.apapun fitnah kau kmi tak percaya.,guntur romli cebong sejati jilat kuasa takut lapar apa fitnah percaya
2022-09-22,https://twitter.com/BungNaga1/status/1572938359991042049,BungNaga1,"@Rizmaya__ @aniesbaswedan Sehingga Seluruh rakyat indonsia byk yg iri ke pak anis,Gubernur Dki rasa presiden👍
Smg pak anis benaran terwujud jdi RI 1 aamiin.salam dri medan.",sehinga rakyat indonsia gubernur daerah khusus ibukota rasa moga benar wujud medan
2022-09-22,https://twitter.com/Harun1996120967/status/1572934655984439296,Harun1996120967,"@GunRomli @aniesbaswedan Jatim siap dukung Anies Presiden 2024, yg benci pasti menyesal Rek",timur siap dukung pasti sesal
