date,url,username,content,cleaned
2022-09-20,https://twitter.com/leeheekyun291/status/1572148559465644032,leeheekyun291,"Sudah saatnya Pak Menhan Prabowo menjadi capres. Kita tahu bahwa beliau ini memiliki latar belakang yang sangat bagus dan memiliki banyak pengalaman pula.
#CapresMumpuni @prabowo https://t.co/r1Pp4iSSDD",sat menhan milik latar bagus milik alam
2022-09-20,https://twitter.com/chirooyu/status/1572148559155056640,chirooyu,Pasti kalian setuju banget deh kalau Pak Menhan Emang sangat cocok untuk dijadikan sebagai next presiden karna Indonesia Butuh Capres Mumpuni seperti beliau #CapresMumpuni @prabowo https://t.co/fwVlCs3ZWy,pasti tuju menhan cocok jadi mumpuni
2022-09-20,https://twitter.com/imbeciledge/status/1572148558966317056,imbeciledge,kalo next presiden yang cocok banget menurutku sih Pak Menhan karna dari segi manapun beliau terbaik #CapresMumpuni @prabowo https://t.co/03FIpwd9qJ,cocok turut menhan segi mana baik
2022-09-20,https://twitter.com/Fightthenight4/status/1572148558920237056,Fightthenight4,Pasti banyak yang setuju deh kalau Pak Menhan itu cocok banget jadi Presiden selanjutnya karena pengalamannya juga sudah banyak InsyaAllah #CapresMumpuni ya Pak Prabowo Subianto @prabowo https://t.co/GZDlUvRBNC,pasti tuju menhan cocok pengalamanya insya
2022-09-20,https://twitter.com/Yuraaliya/status/1572148558890995712,Yuraaliya,"Pilih Presiden itu ga boleh ngasal soalnya menyangkut masa depan indonesia, dan Pak Menhan jawabannya #CapresMumpuni @prabowo https://t.co/m3pjtyS9o9",pilih engak boleh ngasal menhan jawabanya
2022-09-20,https://twitter.com/nararika3/status/1572148558878281729,nararika3,"pilih Presiden itu ga boleh ngasal soalnya menyangkut masa depan indonesia, dan Pak Menhan jawabannya #CapresMumpuni @prabowo https://t.co/cW7B14VEav",pilih engak boleh ngasal menhan jawabanya
2022-09-20,https://twitter.com/gubuk07/status/1572148558844887041,gubuk07,Nahh... aku setuju abis kalo Pak Menhan maju jadi capres karna beliau ini punya background dan pengalaman bagus #CapresMumpuni @prabowo,tuju habis menhan background alam bagus
2022-09-20,https://twitter.com/Chakira131/status/1572148558806908928,Chakira131,"gais Indonesia Butuh Capres Mumpuni seperti Pak Menhan , Pokoknya nggak ada pilihan lain selain beliau yang bagus menurutku #CapresMumpuni @prabowo https://t.co/4yHwXEIE72",gais mumpuni menhan pokok engak pilih bagus turut
2022-09-20,https://twitter.com/perdamen/status/1572141176802914304,perdamen,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Kalau Anies presiden, negeri ini bakalan bubar.",negeri bubar
2022-09-20,https://twitter.com/laima_mursyid/status/1572134981530714112,laima_mursyid,@Neng_Anyar @YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Insya Allah Anies Presiden 2024,
